Country,Industry,Count
All Countries,Fintech,242
All Countries,Internet software and services,224
All Countries,E-commerce and direct-to-consumer,106
All Countries,Health,93
All Countries,Artificial Intelligence,87
All Countries,"Supply chain, logistics, and delivery",66
All Countries,Other,65
All Countries,Cybersecurity,58
All Countries,Data management and analytics,45
All Countries,Auto and transportation,39
All Countries,Hardware,38
All Countries,Mobile and telecommunications,38
All Countries,Edtech,32
All Countries,Consumer and retail,28
All Countries,Travel,14
Argentina,Fintech,1
Australia,E-commerce and direct-to-consumer,1
Australia,Fintech,2
Australia,Internet software and services,5
Austria,Edtech,1
Austria,Fintech,1
Bahamas,Fintech,1
Belgium,Data management and analytics,1
Belgium,Fintech,1
Belgium,Internet software and services,1
Bermuda,Artificial Intelligence,1
Brazil,Artificial Intelligence,1
Brazil,E-commerce and direct-to-consumer,5
Brazil,Fintech,6
Brazil,Mobile and telecommunications,1
Brazil,Other,1
Brazil,"Supply chain, logistics, and delivery",3
Canada,Artificial Intelligence,2
Canada,Cybersecurity,3
Canada,E-commerce and direct-to-consumer,1
Canada,Edtech,1
Canada,Fintech,3
Canada,Internet software and services,6
Canada,Other,1
Canada,"Supply chain, logistics, and delivery",1
Canada,Travel,1
Chile,Artificial Intelligence,1
Chile,Consumer and retail,1
China,Artificial Intelligence,19
China,Auto and transportation,18
China,Consumer and retail,8
China,Cybersecurity,1
China,Data management and analytics,2
China,E-commerce and direct-to-consumer,28
China,Edtech,12
China,Fintech,8
China,Hardware,18
China,Health,11
China,Internet software and services,15
China,Mobile and telecommunications,13
China,Other,6
China,"Supply chain, logistics, and delivery",11
China,Travel,3
Colombia,Fintech,1
Colombia,Other,1
Colombia,"Supply chain, logistics, and delivery",1
Croatia,Auto and transportation,1
Croatia,Mobile and telecommunications,1
Czech Republic,"Supply chain, logistics, and delivery",1
Denmark,Fintech,2
Ecuador,Fintech,1
Estonia,Artificial Intelligence,1
Estonia,Auto and transportation,1
Finland,Health,1
Finland,Internet software and services,1
Finland,Mobile and telecommunications,1
Finland,"Supply chain, logistics, and delivery",1
France,Artificial Intelligence,2
France,Auto and transportation,1
France,E-commerce and direct-to-consumer,5
France,Fintech,5
France,Hardware,2
France,Health,2
France,Internet software and services,2
France,Other,3
