Country,Count,Region
United States,632,North America
China,173,Asia
India,68,Asia
United Kingdom,46,Europe
Germany,29,Europe
France,23,Europe
Israel,22,Asia
Canada,19,North America
Brazil,17,South America
South Korea,15,Asia
Singapore,13,Asia
Australia,8,Oceania
Sweden,8,Europe
Mexico,8,North America
Hong Kong,7,Asia
Netherlands,7,Europe
Japan,6,Asia
Ireland,6,Europe
Indonesia,6,Asia
Switzerland,6,Europe
Norway,5,Europe
Finland,4,Europe
Spain,4,Europe
Colombia,3,South America
Belgium,3,Europe
United Arab Emirates,3,Asia
Turkey,3,Asia
Philippines,2,Asia
Austria,2,Europe
Croatia,2,Europe
Thailand,2,Asia
Lithuania,2,Europe
Chile,2,South America
South Africa,2,Africa
Estonia,2,Europe
Denmark,2,Europe
Vietnam,2,Asia
Argentina,1,South America
Seychelles,1,Africa
Senegal,1,Africa
Nigeria,1,Africa
Malaysia,1,Asia
Luxembourg,1,Europe
Ecuador,1,South America
Czech Republic,1,Europe
Bermuda,1,North America
Bahamas,1,North America
Italy,1,Europe
