Country,Industry,Count
Argentina,Fintech,1
Australia,E-commerce & direct-to-consumer,1
Australia,Fintech,2
Australia,Internet software & services,5
Austria,Edtech,1
Austria,Fintech,1
Bahamas,Fintech,1
Belgium,Data management & analytics,1
Belgium,Fintech,1
Belgium,Internet software & services,1
Bermuda,Artificial Intelligence,1
Brazil,Artificial Intelligence,1
Brazil,E-commerce & direct-to-consumer,5
Brazil,Fintech,6
Brazil,Mobile & telecommunications,1
Brazil,Other,1
Brazil,"Supply chain, logistics, & delivery",3
Canada,Artificial Intelligence,2
Canada,Cybersecurity,3
Canada,E-commerce & direct-to-consumer,1
Canada,Edtech,1
Canada,Fintech,3
Canada,Internet software & services,6
Canada,Other,1
Canada,"Supply chain, logistics, & delivery",1
Canada,Travel,1
Chile,Artificial Intelligence,1
Chile,Consumer & retail,1
China,Artificial Intelligence,19
China,Auto & transportation,18
China,Consumer & retail,8
China,Cybersecurity,1
China,Data management & analytics,2
China,E-commerce & direct-to-consumer,28
China,Edtech,12
China,Fintech,8
China,Hardware,18
China,Health,11
China,Internet software & services,15
China,Mobile & telecommunications,13
China,Other,6
China,"Supply chain, logistics, & delivery",11
China,Travel,3
Colombia,Fintech,1
Colombia,Other,1
Colombia,"Supply chain, logistics, & delivery",1
Croatia,Auto & transportation,1
Croatia,Mobile & telecommunications,1
Czech Republic,"Supply chain, logistics, & delivery",1
Denmark,Fintech,2
Ecuador,Fintech,1
Estonia,Artificial Intelligence,1
Estonia,Auto & transportation,1
Finland,Health,1
Finland,Internet software & services,1
Finland,Mobile & telecommunications,1
Finland,"Supply chain, logistics, & delivery",1
France,Artificial Intelligence,2
France,Auto & transportation,1
France,E-commerce & direct-to-consumer,5
France,Fintech,5
France,Hardware,2
France,Health,2
France,Internet software & services,2
France,Other,3
France,"Supply chain, logistics, & delivery",1
Germany,Auto & transportation,2
Germany,Consumer & retail,1
Germany,Data management & analytics,1
Germany,E-commerce & direct-to-consumer,5
Germany,Fintech,6
Germany,Hardware,1
Germany,Health,1
Germany,Internet software & services,4
Germany,Other,2
Germany,"Supply chain, logistics, & delivery",3
Germany,Travel,3
Hong Kong,Consumer & retail,1
Hong Kong,E-commerce & direct-to-consumer,1
Hong Kong,Fintech,3
Hong Kong,"Supply chain, logistics, & delivery",1
Hong Kong,Travel,1
India,Auto & transportation,2
India,Data management & analytics,1
India,E-commerce & direct-to-consumer,17
India,Edtech,7
India,Fintech,16
India,Health,2
India,Internet software & services,13
India,Mobile & telecommunications,1
India,Other,2
