Country,Count,lon,lat,iso_con
Argentina,1,-64.9672817,-34.9964963,ARG
Australia,8,134.755,-24.7761086,AUS
Austria,2,14.12456,47.59397,AUT
Bahamas,1,-78.0000547,24.7736546,BHS
Belgium,3,4.6667145,50.6402809,BEL
Bermuda,1,-64.7603583,32.3018217,BMU
Brazil,17,-53.2,-10.3333333,BRA
Canada,19,-107.991707,61.0666922,CAN
Chile,2,-71.3187697,-31.7613365,CHL
China,173,104.999927,35.000074,CHN
Colombia,3,-72.9088133,4.099917,COL
Croatia,2,17.0118954,45.5643442,HRV
Denmark,2,10.3333283,55.670249,DNK
Ecuador,1,-79.3666965,-1.3397668,ECU
Estonia,2,25.3319078,58.7523778,EST
Finland,4,25.9209164,63.2467777,FIN
France,23,1.8883335,46.603354,FRA
Germany,29,10.4234469,51.0834196,DEU
Hong Kong,7,114.1628131,22.2793278,HKG
India,68,78.6677428,22.3511148,IND
Indonesia,6,117.8902853,-2.4833826,IDN
Ireland,6,-7.9794599,52.865196,IRL
Israel,22,34.8667654,31.5313113,ISR
Italy,1,12.674297,42.6384261,ITA
Japan,6,139.2394179,36.5748441,JPN
Lithuania,2,23.7499997,55.3500003,LTU
Luxembourg,1,6.1296751,49.8158683,LUX
Malaysia,1,102.2656823,4.5693754,MYS
Mexico,8,-102.0077097,23.6585116,MEX
Netherlands,7,5.38721,52.15517,NLD
Nigeria,1,7.9999721,9.6000359,NGA
Norway,5,9.0999715,60.5000209,NOR
Philippines,2,122.7312101,12.7503486,PHL
Senegal,1,-14.4529612,14.4750607,SEN
Seychelles,1,55.4540146,-4.6574977,SYC
Singapore,13,103.8194992,1.357107,SGP
South Africa,2,24.991639,-28.8166236,ZAF
Spain,4,-4.8379791,39.3260685,ESP
Sweden,8,14.5208584,59.6749712,SWE
Switzerland,6,8.2319736,46.7985624,CHE
Thailand,2,100.83273,14.8971921,THA
Turkey,3,34.9249653,38.9597594,TUR
United Arab Emirates,3,53.9994829,24.0002488,ARE
United Kingdom,46,-3.2765753,54.7023545,GBR
United States,632,-100.445882,39.7837304,USA
