City,Count,country,lat,lng
Alameda,1,United States,37.767,-122.2672
Ambler,1,United States,40.1564,-75.2215
Arlington,1,United States,38.8786,-77.1011
Atlanta,7,United States,33.7627,-84.4224
Austin,10,United States,30.3004,-97.7522
Bellevue,5,United States,47.5951,-122.1535
Bellingham,1,United States,48.7543,-122.4687
Bend,1,United States,44.0562,-121.3087
Berkeley,3,United States,37.8723,-122.276
Berkeley Heights,1,United States,40.6764,-74.4244
Bethesda,1,United States,38.9866,-77.1188
Boca Raton,2,United States,26.3752,-80.108
Boise,1,United States,43.6007,-116.2312
Boston,21,United States,42.3188,-71.0846
Boulder,2,United States,40.0249,-105.2523
Brisbane,1,United States,37.6807661,-122.3999715
Brooklyn,3,United States,40.650002,-73.949997
Brookline,1,United States,42.3243,-71.1408
Burlingame,3,United States,37.586,-122.3669
Burlington,2,United States,42.5022,-71.2027
Cambridge,9,United States,42.3759,-71.1185
Carlsbad,1,United States,33.1247,-117.2837
Carson City,1,United States,39.1512,-119.7474
Cary,1,United States,35.782,-78.8191
Cedar Park,1,United States,30.5106,-97.8196
Charlotte,2,United States,35.208,-80.8304
Chatham,1,United States,41.6698,-69.9755
Chicago,17,United States,41.8373,-87.6862
Cincinnati,1,United States,39.1413,-84.5061
Colorado Springs,1,United States,38.8674,-104.7606
Columbia,1,United States,34.0376,-80.9037
Columbus,2,United States,39.9862,-82.985
Culver City,3,United States,34.0058,-118.3968
Washington DC,2,United States,38.89511,-77.03637
Dallas,4,United States,32.7936,-96.7662
Denver,7,United States,39.7621,-104.8759
Detroit,1,United States,42.3834,-83.1024
Draper,1,United States,40.4957,-111.8605
Dublin,1,United States,40.1112,-83.1454
Eden Prairie,1,United States,44.8488,-93.4595
El Segundo,5,United States,33.9169,-118.4021
Encinitas,1,United States,33.049,-117.2613
Englewood,1,United States,39.6468,-104.9942
Englewood Cliffs,1,United States,40.8822,-73.9466
Fort Lee,1,United States,40.8509,-73.9712
Fort Mill,1,United States,35.0062,-80.9388
