Industry,Year,Count
Artificial Intelligence,2012,1
Artificial Intelligence,2015,1
Artificial Intelligence,2016,1
Artificial Intelligence,2017,4
Artificial Intelligence,2018,11
Artificial Intelligence,2019,14
Artificial Intelligence,2020,3
Artificial Intelligence,2021,36
Artificial Intelligence,2022,16
Auto and transportation,2014,1
Auto and transportation,2015,1
Auto and transportation,2016,1
Auto and transportation,2018,12
Auto and transportation,2019,7
Auto and transportation,2020,6
Auto and transportation,2021,5
Auto and transportation,2022,6
Consumer and retail,2012,1
Consumer and retail,2016,3
Consumer and retail,2017,4
Consumer and retail,2018,6
Consumer and retail,2019,2
Consumer and retail,2020,1
Consumer and retail,2021,10
Consumer and retail,2022,1
Cybersecurity,2013,1
Cybersecurity,2015,2
Cybersecurity,2018,1
Cybersecurity,2019,4
Cybersecurity,2020,7
Cybersecurity,2021,27
Cybersecurity,2022,16
Data management and analytics,2013,1
Data management and analytics,2017,2
Data management and analytics,2018,3
Data management and analytics,2019,4
Data management and analytics,2020,5
Data management and analytics,2021,23
Data management and analytics,2022,7
E-commerce and direct-to-consumer,2012,1
E-commerce and direct-to-consumer,2014,4
E-commerce and direct-to-consumer,2015,9
E-commerce and direct-to-consumer,2016,6
E-commerce and direct-to-consumer,2017,4
E-commerce and direct-to-consumer,2018,4
E-commerce and direct-to-consumer,2019,11
E-commerce and direct-to-consumer,2020,14
E-commerce and direct-to-consumer,2021,41
E-commerce and direct-to-consumer,2022,12
Edtech,2015,2
Edtech,2016,2
Edtech,2017,4
Edtech,2018,2
Edtech,2019,1
Edtech,2020,4
Edtech,2021,13
Edtech,2022,4
Fintech,2011,1
Fintech,2014,1
Fintech,2015,2
Fintech,2017,6
Fintech,2018,10
Fintech,2019,20
Fintech,2020,15
Fintech,2021,134
Fintech,2022,53
Hardware,2014,1
Hardware,2015,4
Hardware,2016,2
Hardware,2018,8
Hardware,2020,1
Hardware,2021,15
Hardware,2022,7
Health,2014,1
Health,2015,2
Health,2016,1
Health,2017,4
Health,2018,7
Health,2019,3
Health,2020,12
Health,2021,44
Health,2022,19
Internet software and services,2011,1
Internet software and services,2013,1
Internet software and services,2015,4
Internet software and services,2016,1
Internet software and services,2017,4
Internet software and services,2018,13
Internet software and services,2019,13
Internet software and services,2020,20
Internet software and services,2021,121
Internet software and services,2022,46
Mobile and telecommunications,2014,3
Mobile and telecommunications,2015,4
Mobile and telecommunications,2016,1
Mobile and telecommunications,2017,5
Mobile and telecommunications,2018,4
Mobile and telecommunications,2019,4
Mobile and telecommunications,2020,7
Mobile and telecommunications,2021,6
Mobile and telecommunications,2022,4
Other,2012,1
Other,2015,2
Other,2016,2
Other,2017,4
Other,2018,3
Other,2019,9
Other,2020,10
Other,2021,21
Other,2022,13
"Supply chain, logistics, and delivery",2014,1
"Supply chain, logistics, and delivery",2016,1
"Supply chain, logistics, and delivery",2017,1
"Supply chain, logistics, and delivery",2018,10
"Supply chain, logistics, and delivery",2019,7
"Supply chain, logistics, and delivery",2020,3
"Supply chain, logistics, and delivery",2021,29
"Supply chain, logistics, and delivery",2022,14
Travel,2015,1
Travel,2017,2
Travel,2018,4
Travel,2019,3
Travel,2021,3
Travel,2022,1
